Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[init] loaded model weights from 'model_cifar10/functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000/modSiren.pth'
[init] source model_name=functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000
[init] source variant=vanilla
[init] source best_loss=0.0012658266946101737
[svd-proj] enabled: target=modul_readout mode=reference_scale every=1 layers=2
[svd-proj]   modul        cap=9.98301 sigma 14.2615 -> 9.98301
[svd-proj]   readout      cap=0.12771 sigma 0.182443 -> 0.12771

  0%|          | 0/196 [00:00<?, ?it/s]
Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   0%|          | 0/196 [00:09<?, ?it/s]
                                                                                         
  [sigmas @ epoch 0 batch 0] sine[6]: [4.976 0.423 0.549 ...] min=0.423 max=4.976

Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   0%|          | 0/196 [00:09<?, ?it/s]
Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   1%|          | 1/196 [00:09<30:52,  9.50s/it]
Epoch 0 | total 0.0103 | MSE 0.0103 | pen 0.0000:   1%|          | 1/196 [00:18<30:52,  9.50s/it]
Epoch 0 | total 0.0103 | MSE 0.0103 | pen 0.0000:   1%|          | 2/196 [00:18<29:28,  9.12s/it]
Epoch 0 | total 0.0153 | MSE 0.0153 | pen 0.0000:   1%|          | 2/196 [00:27<29:28,  9.12s/it]
Epoch 0 | total 0.0153 | MSE 0.0153 | pen 0.0000:   2%|▏         | 3/196 [00:27<29:26,  9.15s/it]
Epoch 0 | total 0.0137 | MSE 0.0137 | pen 0.0000:   2%|▏         | 3/196 [00:36<29:26,  9.15s/it]
Epoch 0 | total 0.0137 | MSE 0.0137 | pen 0.0000:   2%|▏         | 4/196 [00:36<29:39,  9.27s/it]
Epoch 0 | total 0.0146 | MSE 0.0146 | pen 0.0000:   2%|▏         | 4/196 [00:45<29:39,  9.27s/it]
Epoch 0 | total 0.0146 | MSE 0.0146 | pen 0.0000:   3%|▎         | 5/196 [00:45<29:06,  9.14s/it]
Epoch 0 | total 0.0178 | MSE 0.0178 | pen 0.0000:   3%|▎         | 5/196 [00:54<29:06,  9.14s/it]
Epoch 0 | total 0.0178 | MSE 0.0178 | pen 0.0000:   3%|▎         | 6/196 [00:54<28:45,  9.08s/it]
Epoch 0 | total 0.0164 | MSE 0.0164 | pen 0.0000:   3%|▎         | 6/196 [01:04<28:45,  9.08s/it]
Epoch 0 | total 0.0164 | MSE 0.0164 | pen 0.0000:   4%|▎         | 7/196 [01:04<29:07,  9.24s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:   4%|▎         | 7/196 [01:14<29:07,  9.24s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:   4%|▍         | 8/196 [01:14<29:53,  9.54s/it]
Epoch 0 | total 0.0124 | MSE 0.0124 | pen 0.0000:   4%|▍         | 8/196 [01:24<29:53,  9.54s/it]
Epoch 0 | total 0.0124 | MSE 0.0124 | pen 0.0000:   5%|▍         | 9/196 [01:24<30:08,  9.67s/it]
Epoch 0 | total 0.0117 | MSE 0.0117 | pen 0.0000:   5%|▍         | 9/196 [01:33<30:08,  9.67s/it]
Epoch 0 | total 0.0117 | MSE 0.0117 | pen 0.0000:   5%|▌         | 10/196 [01:33<29:13,  9.43s/it]
Epoch 0 | total 0.0119 | MSE 0.0119 | pen 0.0000:   5%|▌         | 10/196 [01:42<29:13,  9.43s/it]
Epoch 0 | total 0.0119 | MSE 0.0119 | pen 0.0000:   6%|▌         | 11/196 [01:42<28:51,  9.36s/it]
Epoch 0 | total 0.0105 | MSE 0.0105 | pen 0.0000:   6%|▌         | 11/196 [01:51<28:51,  9.36s/it]
Epoch 0 | total 0.0105 | MSE 0.0105 | pen 0.0000:   6%|▌         | 12/196 [01:51<28:27,  9.28s/it]
Epoch 0 | total 0.0110 | MSE 0.0110 | pen 0.0000:   6%|▌         | 12/196 [02:01<28:27,  9.28s/it]
Epoch 0 | total 0.0110 | MSE 0.0110 | pen 0.0000:   7%|▋         | 13/196 [02:01<28:16,  9.27s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:   7%|▋         | 13/196 [02:10<28:16,  9.27s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:   7%|▋         | 14/196 [02:10<27:57,  9.22s/it]
Epoch 0 | total 0.0150 | MSE 0.0150 | pen 0.0000:   7%|▋         | 14/196 [02:19<27:57,  9.22s/it]
Epoch 0 | total 0.0150 | MSE 0.0150 | pen 0.0000:   8%|▊         | 15/196 [02:19<27:54,  9.25s/it]
Epoch 0 | total 0.0145 | MSE 0.0145 | pen 0.0000:   8%|▊         | 15/196 [02:28<27:54,  9.25s/it]
