Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[init] loaded model weights from 'model_cifar10/functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000/modSiren.pth'
[init] source model_name=functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000
[init] source variant=vanilla
[init] source best_loss=0.0012658266946101737
[svd-proj] enabled: target=modul mode=reference_scale every=1 layers=1
[svd-proj]   modul        cap=7.13072 sigma 14.2615 -> 7.13072

  0%|          | 0/196 [00:00<?, ?it/s]
Epoch 0 | total 0.0131 | MSE 0.0131 | pen 0.0000:   0%|          | 0/196 [00:10<?, ?it/s]
                                                                                         
  [sigmas @ epoch 0 batch 0] sine[6]: [4.976 0.423 0.549 ...] min=0.423 max=4.976

Epoch 0 | total 0.0131 | MSE 0.0131 | pen 0.0000:   0%|          | 0/196 [00:10<?, ?it/s]
Epoch 0 | total 0.0131 | MSE 0.0131 | pen 0.0000:   1%|          | 1/196 [00:10<35:38, 10.96s/it]
Epoch 0 | total 0.0063 | MSE 0.0063 | pen 0.0000:   1%|          | 1/196 [00:20<35:38, 10.96s/it]
Epoch 0 | total 0.0063 | MSE 0.0063 | pen 0.0000:   1%|          | 2/196 [00:20<32:00,  9.90s/it]
Epoch 0 | total 0.0098 | MSE 0.0098 | pen 0.0000:   1%|          | 2/196 [00:29<32:00,  9.90s/it]
Epoch 0 | total 0.0098 | MSE 0.0098 | pen 0.0000:   2%|▏         | 3/196 [00:29<31:43,  9.86s/it]
Epoch 0 | total 0.0100 | MSE 0.0100 | pen 0.0000:   2%|▏         | 3/196 [00:39<31:43,  9.86s/it]
Epoch 0 | total 0.0100 | MSE 0.0100 | pen 0.0000:   2%|▏         | 4/196 [00:39<31:44,  9.92s/it]
Epoch 0 | total 0.0096 | MSE 0.0096 | pen 0.0000:   2%|▏         | 4/196 [00:49<31:44,  9.92s/it]
Epoch 0 | total 0.0096 | MSE 0.0096 | pen 0.0000:   3%|▎         | 5/196 [00:49<30:52,  9.70s/it]
Epoch 0 | total 0.0174 | MSE 0.0174 | pen 0.0000:   3%|▎         | 5/196 [00:58<30:52,  9.70s/it]
Epoch 0 | total 0.0174 | MSE 0.0174 | pen 0.0000:   3%|▎         | 6/196 [00:58<30:11,  9.53s/it]
Epoch 0 | total 0.0198 | MSE 0.0198 | pen 0.0000:   3%|▎         | 6/196 [01:08<30:11,  9.53s/it]
Epoch 0 | total 0.0198 | MSE 0.0198 | pen 0.0000:   4%|▎         | 7/196 [01:08<30:10,  9.58s/it]
Epoch 0 | total 0.0140 | MSE 0.0140 | pen 0.0000:   4%|▎         | 7/196 [01:17<30:10,  9.58s/it]
Epoch 0 | total 0.0140 | MSE 0.0140 | pen 0.0000:   4%|▍         | 8/196 [01:17<29:44,  9.49s/it]
Epoch 0 | total 0.0091 | MSE 0.0091 | pen 0.0000:   4%|▍         | 8/196 [01:27<29:44,  9.49s/it]
Epoch 0 | total 0.0091 | MSE 0.0091 | pen 0.0000:   5%|▍         | 9/196 [01:27<29:40,  9.52s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:   5%|▍         | 9/196 [01:36<29:40,  9.52s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:   5%|▌         | 10/196 [01:36<29:33,  9.53s/it]
Epoch 0 | total 0.0131 | MSE 0.0131 | pen 0.0000:   5%|▌         | 10/196 [01:46<29:33,  9.53s/it]
Epoch 0 | total 0.0131 | MSE 0.0131 | pen 0.0000:   6%|▌         | 11/196 [01:46<29:42,  9.64s/it]
Epoch 0 | total 0.0134 | MSE 0.0134 | pen 0.0000:   6%|▌         | 11/196 [01:55<29:42,  9.64s/it]
Epoch 0 | total 0.0134 | MSE 0.0134 | pen 0.0000:   6%|▌         | 12/196 [01:55<29:18,  9.56s/it]
Epoch 0 | total 0.0111 | MSE 0.0111 | pen 0.0000:   6%|▌         | 12/196 [02:05<29:18,  9.56s/it]
Epoch 0 | total 0.0111 | MSE 0.0111 | pen 0.0000:   7%|▋         | 13/196 [02:05<28:53,  9.47s/it]
Epoch 0 | total 0.0082 | MSE 0.0082 | pen 0.0000:   7%|▋         | 13/196 [02:14<28:53,  9.47s/it]
Epoch 0 | total 0.0082 | MSE 0.0082 | pen 0.0000:   7%|▋         | 14/196 [02:14<28:53,  9.52s/it]
Epoch 0 | total 0.0070 | MSE 0.0070 | pen 0.0000:   7%|▋         | 14/196 [02:24<28:53,  9.52s/it]
Epoch 0 | total 0.0070 | MSE 0.0070 | pen 0.0000:   8%|▊         | 15/196 [02:24<28:41,  9.51s/it]
Epoch 0 | total 0.0069 | MSE 0.0069 | pen 0.0000:   8%|▊         | 15/196 [02:34<28:41,  9.51s/it]
Epoch 0 | total 0.0069 | MSE 0.0069 | pen 0.0000:   8%|▊         | 16/196 [02:34<28:46,  9.59s/it]
Epoch 0 | total 0.0073 | MSE 0.0073 | pen 0.0000:   8%|▊         | 16/196 [02:43<28:46,  9.59s/it]
Epoch 0 | total 0.0073 | MSE 0.0073 | pen 0.0000:   9%|▊         | 17/196 [02:43<28:30,  9.56s/it]
Epoch 0 | total 0.0061 | MSE 0.0061 | pen 0.0000:   9%|▊         | 17/196 [02:53<28:30,  9.56s/it]
