Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[init] loaded model weights from 'model_cifar10/functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000/modSiren.pth'
[init] source model_name=functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000
[init] source variant=vanilla
[init] source best_loss=0.0012658266946101737
[svd-proj] enabled: target=readout mode=reference_scale every=1 layers=1
[svd-proj]   readout      cap=0.0912216 sigma 0.182443 -> 0.0912216

  0%|          | 0/196 [00:00<?, ?it/s]
Epoch 0 | total 0.0435 | MSE 0.0435 | pen 0.0000:   0%|          | 0/196 [00:13<?, ?it/s]
                                                                                         
  [sigmas @ epoch 0 batch 0] sine[6]: [4.976 0.423 0.549 ...] min=0.423 max=4.976

Epoch 0 | total 0.0435 | MSE 0.0435 | pen 0.0000:   0%|          | 0/196 [00:13<?, ?it/s]
Epoch 0 | total 0.0435 | MSE 0.0435 | pen 0.0000:   1%|          | 1/196 [00:13<42:56, 13.22s/it]
Epoch 0 | total 0.0323 | MSE 0.0323 | pen 0.0000:   1%|          | 1/196 [00:25<42:56, 13.22s/it]
Epoch 0 | total 0.0323 | MSE 0.0323 | pen 0.0000:   1%|          | 2/196 [00:25<41:39, 12.88s/it]
Epoch 0 | total 0.0344 | MSE 0.0344 | pen 0.0000:   1%|          | 2/196 [00:38<41:39, 12.88s/it]
Epoch 0 | total 0.0344 | MSE 0.0344 | pen 0.0000:   2%|▏         | 3/196 [00:38<40:53, 12.71s/it]
Epoch 0 | total 0.0310 | MSE 0.0310 | pen 0.0000:   2%|▏         | 3/196 [00:50<40:53, 12.71s/it]
Epoch 0 | total 0.0310 | MSE 0.0310 | pen 0.0000:   2%|▏         | 4/196 [00:50<40:25, 12.63s/it]
Epoch 0 | total 0.0354 | MSE 0.0354 | pen 0.0000:   2%|▏         | 4/196 [01:03<40:25, 12.63s/it]
Epoch 0 | total 0.0354 | MSE 0.0354 | pen 0.0000:   3%|▎         | 5/196 [01:03<40:00, 12.57s/it]
Epoch 0 | total 0.0287 | MSE 0.0287 | pen 0.0000:   3%|▎         | 5/196 [01:15<40:00, 12.57s/it]
Epoch 0 | total 0.0287 | MSE 0.0287 | pen 0.0000:   3%|▎         | 6/196 [01:15<39:18, 12.41s/it]
Epoch 0 | total 0.0281 | MSE 0.0281 | pen 0.0000:   3%|▎         | 6/196 [01:28<39:18, 12.41s/it]
Epoch 0 | total 0.0281 | MSE 0.0281 | pen 0.0000:   4%|▎         | 7/196 [01:28<39:21, 12.49s/it]
Epoch 0 | total 0.0219 | MSE 0.0219 | pen 0.0000:   4%|▎         | 7/196 [01:40<39:21, 12.49s/it]
Epoch 0 | total 0.0219 | MSE 0.0219 | pen 0.0000:   4%|▍         | 8/196 [01:40<39:03, 12.47s/it]
Epoch 0 | total 0.0206 | MSE 0.0206 | pen 0.0000:   4%|▍         | 8/196 [01:52<39:03, 12.47s/it]
Epoch 0 | total 0.0206 | MSE 0.0206 | pen 0.0000:   5%|▍         | 9/196 [01:52<38:51, 12.47s/it]
Epoch 0 | total 0.0185 | MSE 0.0185 | pen 0.0000:   5%|▍         | 9/196 [02:05<38:51, 12.47s/it]
Epoch 0 | total 0.0185 | MSE 0.0185 | pen 0.0000:   5%|▌         | 10/196 [02:05<39:02, 12.59s/it]
Epoch 0 | total 0.0202 | MSE 0.0202 | pen 0.0000:   5%|▌         | 10/196 [02:18<39:02, 12.59s/it]
Epoch 0 | total 0.0202 | MSE 0.0202 | pen 0.0000:   6%|▌         | 11/196 [02:18<38:45, 12.57s/it]
Epoch 0 | total 0.0166 | MSE 0.0166 | pen 0.0000:   6%|▌         | 11/196 [02:30<38:45, 12.57s/it]
Epoch 0 | total 0.0166 | MSE 0.0166 | pen 0.0000:   6%|▌         | 12/196 [02:30<38:18, 12.49s/it]
Epoch 0 | total 0.0151 | MSE 0.0151 | pen 0.0000:   6%|▌         | 12/196 [02:42<38:18, 12.49s/it]
Epoch 0 | total 0.0151 | MSE 0.0151 | pen 0.0000:   7%|▋         | 13/196 [02:42<37:48, 12.40s/it]
Epoch 0 | total 0.0143 | MSE 0.0143 | pen 0.0000:   7%|▋         | 13/196 [02:54<37:48, 12.40s/it]
Epoch 0 | total 0.0143 | MSE 0.0143 | pen 0.0000:   7%|▋         | 14/196 [02:54<37:14, 12.28s/it]
Epoch 0 | total 0.0143 | MSE 0.0143 | pen 0.0000:   7%|▋         | 14/196 [03:07<37:14, 12.28s/it]
Epoch 0 | total 0.0143 | MSE 0.0143 | pen 0.0000:   8%|▊         | 15/196 [03:07<36:59, 12.26s/it]
Epoch 0 | total 0.0135 | MSE 0.0135 | pen 0.0000:   8%|▊         | 15/196 [03:19<36:59, 12.26s/it]
Epoch 0 | total 0.0135 | MSE 0.0135 | pen 0.0000:   8%|▊         | 16/196 [03:19<36:39, 12.22s/it]
Epoch 0 | total 0.0116 | MSE 0.0116 | pen 0.0000:   8%|▊         | 16/196 [03:31<36:39, 12.22s/it]
Epoch 0 | total 0.0116 | MSE 0.0116 | pen 0.0000:   9%|▊         | 17/196 [03:31<36:21, 12.19s/it]
Epoch 0 | total 0.0132 | MSE 0.0132 | pen 0.0000:   9%|▊         | 17/196 [03:43<36:21, 12.19s/it]
Epoch 0 | total 0.0132 | MSE 0.0132 | pen 0.0000:   9%|▉         | 18/196 [03:43<35:53, 12.10s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:   9%|▉         | 18/196 [03:55<35:53, 12.10s/it]
Epoch 0 | total 0.0125 | MSE 0.0125 | pen 0.0000:  10%|▉         | 19/196 [03:55<35:34, 12.06s/it]
Epoch 0 | total 0.0115 | MSE 0.0115 | pen 0.0000:  10%|▉         | 19/196 [04:06<35:34, 12.06s/it]
Epoch 0 | total 0.0115 | MSE 0.0115 | pen 0.0000:  10%|█         | 20/196 [04:06<34:46, 11.86s/it]
Epoch 0 | total 0.0122 | MSE 0.0122 | pen 0.0000:  10%|█         | 20/196 [04:18<34:46, 11.86s/it]
Epoch 0 | total 0.0122 | MSE 0.0122 | pen 0.0000:  11%|█         | 21/196 [04:18<34:15, 11.75s/it]
Epoch 0 | total 0.0105 | MSE 0.0105 | pen 0.0000:  11%|█         | 21/196 [04:29<34:15, 11.75s/it]
Epoch 0 | total 0.0105 | MSE 0.0105 | pen 0.0000:  11%|█         | 22/196 [04:29<33:47, 11.65s/it]
Epoch 0 | total 0.0106 | MSE 0.0106 | pen 0.0000:  11%|█         | 22/196 [04:41<33:47, 11.65s/it]
Epoch 0 | total 0.0106 | MSE 0.0106 | pen 0.0000:  12%|█▏        | 23/196 [04:41<33:32, 11.64s/it]
Epoch 0 | total 0.0098 | MSE 0.0098 | pen 0.0000:  12%|█▏        | 23/196 [04:52<33:32, 11.64s/it]
Epoch 0 | total 0.0098 | MSE 0.0098 | pen 0.0000:  12%|█▏        | 24/196 [04:52<32:51, 11.46s/it]
Epoch 0 | total 0.0104 | MSE 0.0104 | pen 0.0000:  12%|█▏        | 24/196 [05:04<32:51, 11.46s/it]
Epoch 0 | total 0.0104 | MSE 0.0104 | pen 0.0000:  13%|█▎        | 25/196 [05:04<33:06, 11.62s/it]
Epoch 0 | total 0.0085 | MSE 0.0085 | pen 0.0000:  13%|█▎        | 25/196 [05:15<33:06, 11.62s/it]
Epoch 0 | total 0.0085 | MSE 0.0085 | pen 0.0000:  13%|█▎        | 26/196 [05:15<32:56, 11.62s/it]
Epoch 0 | total 0.0092 | MSE 0.0092 | pen 0.0000:  13%|█▎        | 26/196 [05:27<32:56, 11.62s/it]
Epoch 0 | total 0.0092 | MSE 0.0092 | pen 0.0000:  14%|█▍        | 27/196 [05:27<32:43, 11.62s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  14%|█▍        | 27/196 [05:38<32:43, 11.62s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  14%|█▍        | 28/196 [05:38<32:29, 11.60s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  14%|█▍        | 28/196 [05:50<32:29, 11.60s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  15%|█▍        | 29/196 [05:50<32:15, 11.59s/it]
Epoch 0 | total 0.0089 | MSE 0.0089 | pen 0.0000:  15%|█▍        | 29/196 [06:01<32:15, 11.59s/it]
Epoch 0 | total 0.0089 | MSE 0.0089 | pen 0.0000:  15%|█▌        | 30/196 [06:01<31:53, 11.53s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  15%|█▌        | 30/196 [06:13<31:53, 11.53s/it]
Epoch 0 | total 0.0084 | MSE 0.0084 | pen 0.0000:  16%|█▌        | 31/196 [06:13<31:31, 11.47s/it]
Epoch 0 | total 0.0085 | MSE 0.0085 | pen 0.0000:  16%|█▌        | 31/196 [06:24<31:31, 11.47s/it]
Epoch 0 | total 0.0085 | MSE 0.0085 | pen 0.0000:  16%|█▋        | 32/196 [06:24<31:28, 11.52s/it]
Epoch 0 | total 0.0088 | MSE 0.0088 | pen 0.0000:  16%|█▋        | 32/196 [06:36<31:28, 11.52s/it]
Epoch 0 | total 0.0088 | MSE 0.0088 | pen 0.0000:  17%|█▋        | 33/196 [06:36<31:08, 11.47s/it]
Epoch 0 | total 0.0088 | MSE 0.0088 | pen 0.0000:  17%|█▋        | 33/196 [06:47<31:08, 11.47s/it]
Epoch 0 | total 0.0088 | MSE 0.0088 | pen 0.0000:  17%|█▋        | 34/196 [06:47<31:03, 11.50s/it]
Epoch 0 | total 0.0091 | MSE 0.0091 | pen 0.0000:  17%|█▋        | 34/196 [06:59<31:03, 11.50s/it]
Epoch 0 | total 0.0091 | MSE 0.0091 | pen 0.0000:  18%|█▊        | 35/196 [06:59<30:42, 11.45s/it]
Epoch 0 | total 0.0074 | MSE 0.0074 | pen 0.0000:  18%|█▊        | 35/196 [07:10<30:42, 11.45s/it]
Epoch 0 | total 0.0074 | MSE 0.0074 | pen 0.0000:  18%|█▊        | 36/196 [07:10<30:23, 11.40s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  18%|█▊        | 36/196 [07:22<30:23, 11.40s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  19%|█▉        | 37/196 [07:22<30:23, 11.47s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  19%|█▉        | 37/196 [07:33<30:23, 11.47s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  19%|█▉        | 38/196 [07:33<30:00, 11.40s/it]
Epoch 0 | total 0.0079 | MSE 0.0079 | pen 0.0000:  19%|█▉        | 38/196 [07:44<30:00, 11.40s/it]
Epoch 0 | total 0.0079 | MSE 0.0079 | pen 0.0000:  20%|█▉        | 39/196 [07:44<29:44, 11.36s/it]
Epoch 0 | total 0.0086 | MSE 0.0086 | pen 0.0000:  20%|█▉        | 39/196 [07:55<29:44, 11.36s/it]
Epoch 0 | total 0.0086 | MSE 0.0086 | pen 0.0000:  20%|██        | 40/196 [07:55<29:31, 11.36s/it]
Epoch 0 | total 0.0082 | MSE 0.0082 | pen 0.0000:  20%|██        | 40/196 [08:07<29:31, 11.36s/it]
Epoch 0 | total 0.0082 | MSE 0.0082 | pen 0.0000:  21%|██        | 41/196 [08:07<29:31, 11.43s/it]
Epoch 0 | total 0.0074 | MSE 0.0074 | pen 0.0000:  21%|██        | 41/196 [08:18<29:31, 11.43s/it]
Epoch 0 | total 0.0074 | MSE 0.0074 | pen 0.0000:  21%|██▏       | 42/196 [08:18<29:15, 11.40s/it]
Epoch 0 | total 0.0083 | MSE 0.0083 | pen 0.0000:  21%|██▏       | 42/196 [08:30<29:15, 11.40s/it]
Epoch 0 | total 0.0083 | MSE 0.0083 | pen 0.0000:  22%|██▏       | 43/196 [08:30<29:08, 11.43s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  22%|██▏       | 43/196 [08:41<29:08, 11.43s/it]
Epoch 0 | total 0.0077 | MSE 0.0077 | pen 0.0000:  22%|██▏       | 44/196 [08:41<28:54, 11.41s/it]
Epoch 0 | total 0.0080 | MSE 0.0080 | pen 0.0000:  22%|██▏       | 44/196 [08:53<28:54, 11.41s/it]
Epoch 0 | total 0.0080 | MSE 0.0080 | pen 0.0000:  23%|██▎       | 45/196 [08:53<28:49, 11.46s/it]
Epoch 0 | total 0.0080 | MSE 0.0080 | pen 0.0000:  23%|██▎       | 45/196 [09:04<28:49, 11.46s/it]
Epoch 0 | total 0.0080 | MSE 0.0080 | pen 0.0000:  23%|██▎       | 46/196 [09:04<28:29, 11.40s/it]
