Files already downloaded and verified
Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[makeset] train subset size: 50000
[makeset] test subset size: 10000
[makeset] checkpoint: model_cifar10/cifar10_spatial_warmvanilla_orth_sine_and_readout_auto_lam1e-3/modSiren.pth
[makeset] model_args: {'dataset': 'cifar10', 'hidden_dim': 256, 'mod_dim': 1024, 'depth': 6, 'height': 32, 'width': 32, 'out_features': 3, 'inr_type': 'siren', 'fourier_num_freqs': 64, 'fourier_sigma': 10.0, 'fourier_include_input': False, 'freq': 10.0, 'finer_first_bias_scale': 1.0, 'finer_scale_req_grad': False, 'lsa_num_harmonics': 8, 'lsa_init_scale': 0.001, 'lsa_include_linear': True, 'spatial_modulation': True, 'latent_spatial_dim': 8, 'latent_dim': 16, 'spatial_interp': 'nearest', 'use_local_coords': True, 'modulation_type': 'shift'}
[makeset] built model: SpatialModulatedINR
[makeset] modul_features: 1024
[makeset] hidden_features: 256
[makeset] coord_normalization: None

  0%|          | 0/50000 [00:00<?, ?it/s][makeset] first phi shape: (8, 8, 16) is_spatial: True

MSE: 0.0014491223264485598:   0%|          | 0/50000 [00:01<?, ?it/s]
MSE: 0.0014491223264485598:   0%|          | 1/50000 [00:01<18:53:06,  1.36s/it]
MSE: 0.0019348784117028117:   0%|          | 1/50000 [00:01<18:53:06,  1.36s/it]
MSE: 0.0006725871353410184:   0%|          | 1/50000 [00:01<18:53:06,  1.36s/it]
MSE: 0.000586247886531055:   0%|          | 1/50000 [00:01<18:53:06,  1.36s/it] 
MSE: 0.000586247886531055:   0%|          | 4/50000 [00:01<4:05:55,  3.39it/s] 
MSE: 0.001277824630960822:   0%|          | 4/50000 [00:01<4:05:55,  3.39it/s]
MSE: 0.002701944438740611:   0%|          | 4/50000 [00:01<4:05:55,  3.39it/s]
MSE: 0.0030589252710342407:   0%|          | 4/50000 [00:01<4:05:55,  3.39it/s]
MSE: 0.0030589252710342407:   0%|          | 7/50000 [00:01<2:13:55,  6.22it/s]
MSE: 0.001917353249154985:   0%|          | 7/50000 [00:01<2:13:55,  6.22it/s] 
MSE: 0.0009395112283527851:   0%|          | 7/50000 [00:01<2:13:55,  6.22it/s]
MSE: 0.0009395112283527851:   0%|          | 9/50000 [00:01<1:42:55,  8.10it/s]
MSE: 0.0006103081977926195:   0%|          | 9/50000 [00:01<1:42:55,  8.10it/s]
MSE: 0.00036841206019744277:   0%|          | 9/50000 [00:01<1:42:55,  8.10it/s]
MSE: 0.00036841206019744277:   0%|          | 11/50000 [00:01<1:23:32,  9.97it/s]
MSE: 0.0015043359016999602:   0%|          | 11/50000 [00:01<1:23:32,  9.97it/s] 
MSE: 0.001173035241663456:   0%|          | 11/50000 [00:01<1:23:32,  9.97it/s] 
MSE: 0.0011823162203654647:   0%|          | 11/50000 [00:01<1:23:32,  9.97it/s]
MSE: 0.0011823162203654647:   0%|          | 14/50000 [00:01<1:04:08, 12.99it/s]
MSE: 0.0021391219925135374:   0%|          | 14/50000 [00:02<1:04:08, 12.99it/s]
MSE: 0.0010228827595710754:   0%|          | 14/50000 [00:02<1:04:08, 12.99it/s]
MSE: 0.0011388318380340934:   0%|          | 14/50000 [00:02<1:04:08, 12.99it/s]
MSE: 0.0011388318380340934:   0%|          | 17/50000 [00:02<53:25, 15.59it/s]  
MSE: 0.0008185653714463115:   0%|          | 17/50000 [00:02<53:25, 15.59it/s]
MSE: 0.0006529177771881223:   0%|          | 17/50000 [00:02<53:25, 15.59it/s]
MSE: 0.0017749214312061667:   0%|          | 17/50000 [00:02<53:25, 15.59it/s]
MSE: 0.0017749214312061667:   0%|          | 20/50000 [00:02<49:25, 16.85it/s]
MSE: 0.0007314090617001057:   0%|          | 20/50000 [00:02<49:25, 16.85it/s]
MSE: 0.002944229170680046:   0%|          | 20/50000 [00:02<49:25, 16.85it/s] 
MSE: 0.0008736273739486933:   0%|          | 20/50000 [00:02<49:25, 16.85it/s]
MSE: 0.0008736273739486933:   0%|          | 23/50000 [00:02<46:05, 18.07it/s]
MSE: 0.0006908759824000299:   0%|          | 23/50000 [00:02<46:05, 18.07it/s]
MSE: 0.0024771597236394882:   0%|          | 23/50000 [00:02<46:05, 18.07it/s]
MSE: 0.0008366446709260345:   0%|          | 23/50000 [00:02<46:05, 18.07it/s]
MSE: 0.0008366446709260345:   0%|          | 26/50000 [00:02<44:46, 18.60it/s]
MSE: 0.0005438495427370071:   0%|          | 26/50000 [00:02<44:46, 18.60it/s]
MSE: 0.0011615508701652288:   0%|          | 26/50000 [00:02<44:46, 18.60it/s]
MSE: 0.0013295868411660194:   0%|          | 26/50000 [00:02<44:46, 18.60it/s]
MSE: 0.0013295868411660194:   0%|          | 29/50000 [00:02<44:08, 18.86it/s]
MSE: 0.000506656535435468:   0%|          | 29/50000 [00:02<44:08, 18.86it/s] 
MSE: 0.0019081294303759933:   0%|          | 29/50000 [00:02<44:08, 18.86it/s]
MSE: 0.0007438327884301543:   0%|          | 29/50000 [00:02<44:08, 18.86it/s]
MSE: 0.0007438327884301543:   0%|          | 32/50000 [00:02<43:43, 19.04it/s]
MSE: 0.002318683313205838:   0%|          | 32/50000 [00:02<43:43, 19.04it/s] 
MSE: 0.0011268039233982563:   0%|          | 32/50000 [00:02<43:43, 19.04it/s]
MSE: 0.0008935387013480067:   0%|          | 32/50000 [00:03<43:43, 19.04it/s]
MSE: 0.0008935387013480067:   0%|          | 35/50000 [00:03<44:40, 18.64it/s]
MSE: 0.0016988416900858283:   0%|          | 35/50000 [00:03<44:40, 18.64it/s]
MSE: 0.001398251624777913:   0%|          | 35/50000 [00:03<44:40, 18.64it/s] 
MSE: 0.001398251624777913:   0%|          | 37/50000 [00:03<45:06, 18.46it/s]
MSE: 0.0009365715086460114:   0%|          | 37/50000 [00:03<45:06, 18.46it/s]
MSE: 0.0011254824930801988:   0%|          | 37/50000 [00:03<45:06, 18.46it/s]
MSE: 0.0011254824930801988:   0%|          | 39/50000 [00:03<45:44, 18.20it/s]
MSE: 0.0011237193830311298:   0%|          | 39/50000 [00:03<45:44, 18.20it/s]
MSE: 0.001305325422435999:   0%|          | 39/50000 [00:03<45:44, 18.20it/s] 
MSE: 0.001305325422435999:   0%|          | 41/50000 [00:03<45:43, 18.21it/s]
MSE: 0.0008069241303019226:   0%|          | 41/50000 [00:03<45:43, 18.21it/s]
MSE: 0.0005344439996406436:   0%|          | 41/50000 [00:03<45:43, 18.21it/s]
MSE: 0.0005344439996406436:   0%|          | 43/50000 [00:03<45:18, 18.38it/s]
MSE: 0.0028234152123332024:   0%|          | 43/50000 [00:03<45:18, 18.38it/s]
MSE: 0.0021638027392327785:   0%|          | 43/50000 [00:03<45:18, 18.38it/s]
MSE: 0.0021638027392327785:   0%|          | 45/50000 [00:03<50:12, 16.58it/s]
MSE: 0.0023357567843049765:   0%|          | 45/50000 [00:03<50:12, 16.58it/s]
MSE: 0.0010604157578200102:   0%|          | 45/50000 [00:03<50:12, 16.58it/s]
MSE: 0.0010604157578200102:   0%|          | 47/50000 [00:03<51:52, 16.05it/s]
MSE: 0.0005444555426947773:   0%|          | 47/50000 [00:03<51:52, 16.05it/s]
MSE: 0.0005254934658296406:   0%|          | 47/50000 [00:03<51:52, 16.05it/s]
MSE: 0.0005254934658296406:   0%|          | 49/50000 [00:03<50:02, 16.64it/s]
MSE: 0.0015759298112243414:   0%|          | 49/50000 [00:03<50:02, 16.64it/s]
MSE: 0.0018392649944871664:   0%|          | 49/50000 [00:04<50:02, 16.64it/s]
MSE: 0.0018392649944871664:   0%|          | 51/50000 [00:04<55:20, 15.04it/s]
MSE: 0.0022180897649377584:   0%|          | 51/50000 [00:04<55:20, 15.04it/s]
MSE: 0.001933846389874816:   0%|          | 51/50000 [00:04<55:20, 15.04it/s] 
MSE: 0.001933846389874816:   0%|          | 53/50000 [00:04<52:02, 15.99it/s]
MSE: 0.0005920589901506901:   0%|          | 53/50000 [00:04<52:02, 15.99it/s]
MSE: 0.0010336496634408832:   0%|          | 53/50000 [00:04<52:02, 15.99it/s]
MSE: 0.0010336496634408832:   0%|          | 55/50000 [00:04<50:21, 16.53it/s]
MSE: 0.001989397220313549:   0%|          | 55/50000 [00:04<50:21, 16.53it/s] 
MSE: 0.0012668692506849766:   0%|          | 55/50000 [00:04<50:21, 16.53it/s]
MSE: 0.0012668692506849766:   0%|          | 57/50000 [00:04<49:02, 16.98it/s]
MSE: 0.0005413808394223452:   0%|          | 57/50000 [00:04<49:02, 16.98it/s]
MSE: 0.0005411824677139521:   0%|          | 57/50000 [00:04<49:02, 16.98it/s]
MSE: 0.0005411824677139521:   0%|          | 59/50000 [00:04<53:26, 15.58it/s]
MSE: 0.0035468507558107376:   0%|          | 59/50000 [00:04<53:26, 15.58it/s]
MSE: 0.0025294991210103035:   0%|          | 59/50000 [00:04<53:26, 15.58it/s]
MSE: 0.0025294991210103035:   0%|          | 61/50000 [00:04<52:19, 15.91it/s]
MSE: 0.001640892936848104:   0%|          | 61/50000 [00:04<52:19, 15.91it/s] 
MSE: 0.0011150543577969074:   0%|          | 61/50000 [00:04<52:19, 15.91it/s]
MSE: 0.0011150543577969074:   0%|          | 63/50000 [00:04<51:08, 16.28it/s]
MSE: 0.0014956668019294739:   0%|          | 63/50000 [00:04<51:08, 16.28it/s]
MSE: 0.002174859633669257:   0%|          | 63/50000 [00:04<51:08, 16.28it/s] 
MSE: 0.002174859633669257:   0%|          | 65/50000 [00:04<51:17, 16.23it/s]
MSE: 0.002184593817219138:   0%|          | 65/50000 [00:04<51:17, 16.23it/s]
MSE: 0.0021315107587724924:   0%|          | 65/50000 [00:04<51:17, 16.23it/s]
MSE: 0.0021315107587724924:   0%|          | 67/50000 [00:04<51:41, 16.10it/s]
MSE: 0.0013582853134721518:   0%|          | 67/50000 [00:05<51:41, 16.10it/s]
MSE: 0.0014424737310037017:   0%|          | 67/50000 [00:05<51:41, 16.10it/s]
MSE: 0.0014424737310037017:   0%|          | 69/50000 [00:05<51:42, 16.10it/s]
MSE: 0.0002768189588095993:   0%|          | 69/50000 [00:05<51:42, 16.10it/s]
MSE: 0.0010131218004971743:   0%|          | 69/50000 [00:05<51:42, 16.10it/s]
MSE: 0.0010131218004971743:   0%|          | 71/50000 [00:05<51:37, 16.12it/s]
MSE: 0.0015667958650738:   0%|          | 71/50000 [00:05<51:37, 16.12it/s]   
MSE: 0.0011587743647396564:   0%|          | 71/50000 [00:05<51:37, 16.12it/s]
MSE: 0.0011587743647396564:   0%|          | 73/50000 [00:05<51:42, 16.09it/s]
MSE: 0.0013272750657051802:   0%|          | 73/50000 [00:05<51:42, 16.09it/s]
MSE: 0.0013893498107790947:   0%|          | 73/50000 [00:05<51:42, 16.09it/s]
MSE: 0.0013893498107790947:   0%|          | 75/50000 [00:05<53:35, 15.52it/s]
MSE: 0.002113813068717718:   0%|          | 75/50000 [00:05<53:35, 15.52it/s] 
MSE: 0.0019060459453612566:   0%|          | 75/50000 [00:05<53:35, 15.52it/s]
MSE: 0.0019060459453612566:   0%|          | 77/50000 [00:05<52:24, 15.88it/s]
MSE: 0.0006305597489699721:   0%|          | 77/50000 [00:05<52:24, 15.88it/s]
MSE: 0.0015166433295235038:   0%|          | 77/50000 [00:05<52:24, 15.88it/s]
MSE: 0.0015166433295235038:   0%|          | 79/50000 [00:05<51:29, 16.16it/s]
MSE: 0.0020956466905772686:   0%|          | 79/50000 [00:05<51:29, 16.16it/s]
MSE: 0.0005501449340954423:   0%|          | 79/50000 [00:05<51:29, 16.16it/s]
MSE: 0.0005501449340954423:   0%|          | 81/50000 [00:05<50:55, 16.34it/s]
MSE: 0.0013827988877892494:   0%|          | 81/50000 [00:05<50:55, 16.34it/s]
MSE: 0.0017040437087416649:   0%|          | 81/50000 [00:05<50:55, 16.34it/s]
MSE: 0.0017040437087416649:   0%|          | 83/50000 [00:05<49:37, 16.77it/s]
MSE: 0.0008283221395686269:   0%|          | 83/50000 [00:06<49:37, 16.77it/s]
MSE: 0.0016064485535025597:   0%|          | 83/50000 [00:06<49:37, 16.77it/s]
MSE: 0.0016064485535025597:   0%|          | 85/50000 [00:06<48:17, 17.23it/s]
MSE: 0.0007465269300155342:   0%|          | 85/50000 [00:06<48:17, 17.23it/s]
MSE: 0.0007211592746898532:   0%|          | 85/50000 [00:06<48:17, 17.23it/s]
MSE: 0.0007211592746898532:   0%|          | 87/50000 [00:06<48:18, 17.22it/s]
MSE: 0.0015034116804599762:   0%|          | 87/50000 [00:06<48:18, 17.22it/s]
MSE: 0.0019821077585220337:   0%|          | 87/50000 [00:06<48:18, 17.22it/s]
MSE: 0.0019821077585220337:   0%|          | 89/50000 [00:06<48:04, 17.30it/s]
MSE: 0.0014145623426884413:   0%|          | 89/50000 [00:06<48:04, 17.30it/s]
MSE: 0.0010684768203645945:   0%|          | 89/50000 [00:06<48:04, 17.30it/s]
MSE: 0.0010684768203645945:   0%|          | 91/50000 [00:06<48:14, 17.24it/s]
MSE: 0.001961147878319025:   0%|          | 91/50000 [00:06<48:14, 17.24it/s] 
MSE: 0.0039779748767614365:   0%|          | 91/50000 [00:06<48:14, 17.24it/s]
MSE: 0.0039779748767614365:   0%|          | 93/50000 [00:06<48:22, 17.19it/s]
MSE: 0.001194131444208324:   0%|          | 93/50000 [00:06<48:22, 17.19it/s] 
MSE: 0.0013409808743745089:   0%|          | 93/50000 [00:06<48:22, 17.19it/s]
MSE: 0.0013409808743745089:   0%|          | 95/50000 [00:06<48:47, 17.05it/s]
MSE: 0.0034807175397872925:   0%|          | 95/50000 [00:06<48:47, 17.05it/s]
MSE: 0.0007696730317547917:   0%|          | 95/50000 [00:06<48:47, 17.05it/s]
MSE: 0.0007696730317547917:   0%|          | 97/50000 [00:06<48:17, 17.22it/s]
MSE: 0.0014373927842825651:   0%|          | 97/50000 [00:06<48:17, 17.22it/s]
MSE: 0.0015422988217324018:   0%|          | 97/50000 [00:06<48:17, 17.22it/s]
MSE: 0.0015422988217324018:   0%|          | 99/50000 [00:06<48:45, 17.06it/s]
MSE: 0.004511560779064894:   0%|          | 99/50000 [00:06<48:45, 17.06it/s] 
MSE: 0.0005918852984905243:   0%|          | 99/50000 [00:07<48:45, 17.06it/s]
MSE: 0.0005918852984905243:   0%|          | 101/50000 [00:07<48:06, 17.28it/s]
MSE: 0.000672239693813026:   0%|          | 101/50000 [00:07<48:06, 17.28it/s] 
MSE: 0.0030037686228752136:   0%|          | 101/50000 [00:07<48:06, 17.28it/s]
MSE: 0.0030037686228752136:   0%|          | 103/50000 [00:07<47:29, 17.51it/s]
MSE: 0.00221407413482666:   0%|          | 103/50000 [00:07<47:29, 17.51it/s]  
MSE: 0.0030064471065998077:   0%|          | 103/50000 [00:07<47:29, 17.51it/s]
MSE: 0.0030064471065998077:   0%|          | 105/50000 [00:07<47:25, 17.54it/s]
MSE: 0.00247446377761662:   0%|          | 105/50000 [00:07<47:25, 17.54it/s]  
MSE: 0.0016929784324020147:   0%|          | 105/50000 [00:07<47:25, 17.54it/s]
MSE: 0.0016929784324020147:   0%|          | 107/50000 [00:07<46:28, 17.90it/s]
MSE: 0.0008846767013892531:   0%|          | 107/50000 [00:07<46:28, 17.90it/s]
MSE: 0.0004799261223524809:   0%|          | 107/50000 [00:07<46:28, 17.90it/s]
MSE: 0.0004799261223524809:   0%|          | 109/50000 [00:07<47:04, 17.66it/s]
MSE: 0.0015711088199168444:   0%|          | 109/50000 [00:07<47:04, 17.66it/s]
MSE: 0.0003627922269515693:   0%|          | 109/50000 [00:07<47:04, 17.66it/s]
MSE: 0.0003627922269515693:   0%|          | 111/50000 [00:07<47:18, 17.58it/s]
MSE: 0.0010039544431492686:   0%|          | 111/50000 [00:07<47:18, 17.58it/s]
MSE: 0.001378750428557396:   0%|          | 111/50000 [00:07<47:18, 17.58it/s] 
MSE: 0.001378750428557396:   0%|          | 113/50000 [00:07<46:54, 17.73it/s]
MSE: 0.0012575050350278616:   0%|          | 113/50000 [00:07<46:54, 17.73it/s]
MSE: 0.002819239627569914:   0%|          | 113/50000 [00:07<46:54, 17.73it/s] 
MSE: 0.002819239627569914:   0%|          | 115/50000 [00:07<47:01, 17.68it/s]
MSE: 0.0006069901864975691:   0%|          | 115/50000 [00:07<47:01, 17.68it/s]
MSE: 0.0009261275990866125:   0%|          | 115/50000 [00:07<47:01, 17.68it/s]
MSE: 0.0009261275990866125:   0%|          | 117/50000 [00:07<47:16, 17.58it/s]
MSE: 0.0012365111615508795:   0%|          | 117/50000 [00:07<47:16, 17.58it/s]
MSE: 0.0016390050295740366:   0%|          | 117/50000 [00:08<47:16, 17.58it/s]
MSE: 0.0016390050295740366:   0%|          | 119/50000 [00:08<47:19, 17.57it/s]
MSE: 0.0008123079314827919:   0%|          | 119/50000 [00:08<47:19, 17.57it/s]
MSE: 0.00046441046288236976:   0%|          | 119/50000 [00:08<47:19, 17.57it/s]
MSE: 0.00046441046288236976:   0%|          | 121/50000 [00:08<47:21, 17.55it/s]
MSE: 0.00047092276508919895:   0%|          | 121/50000 [00:08<47:21, 17.55it/s]
MSE: 0.0009033565293066204:   0%|          | 121/50000 [00:08<47:21, 17.55it/s] 
MSE: 0.0009033565293066204:   0%|          | 123/50000 [00:08<46:35, 17.84it/s]
MSE: 0.0013134523760527372:   0%|          | 123/50000 [00:08<46:35, 17.84it/s]
MSE: 0.0007988202851265669:   0%|          | 123/50000 [00:08<46:35, 17.84it/s]
MSE: 0.0007988202851265669:   0%|          | 125/50000 [00:08<46:14, 17.97it/s]
MSE: 0.0011601964943110943:   0%|          | 125/50000 [00:08<46:14, 17.97it/s]
MSE: 0.0006194725283421576:   0%|          | 125/50000 [00:08<46:14, 17.97it/s]
MSE: 0.0006194725283421576:   0%|          | 127/50000 [00:08<45:42, 18.19it/s]
MSE: 0.001176741672679782:   0%|          | 127/50000 [00:08<45:42, 18.19it/s] 
MSE: 0.001106990734115243:   0%|          | 127/50000 [00:08<45:42, 18.19it/s]
MSE: 0.001106990734115243:   0%|          | 129/50000 [00:08<45:50, 18.13it/s]
MSE: 0.0007135841879062355:   0%|          | 129/50000 [00:08<45:50, 18.13it/s]
MSE: 0.0004604497808031738:   0%|          | 129/50000 [00:08<45:50, 18.13it/s]
MSE: 0.0004604497808031738:   0%|          | 131/50000 [00:08<45:45, 18.17it/s]
MSE: 0.0015638623153790832:   0%|          | 131/50000 [00:08<45:45, 18.17it/s]
MSE: 0.00042301774374209344:   0%|          | 131/50000 [00:08<45:45, 18.17it/s]
