model,layer,input_rms,affine_rms,shifted_rms,output_rms,output_std,output_absmax,rms_gain_vs_input
vanilla_base,sine.0,0.5728219747543335,0.23368971049785614,0.2802131175994873,0.7002421617507935,0.6996504068374634,1.0,1.2224429100351932
vanilla_base,sine.1,0.7002421617507935,0.12441378086805344,0.18875348567962646,0.44811370968818665,0.44743743538856506,0.9999994039535522,0.6399410577731881
vanilla_base,sine.2,0.44811370968818665,0.12052030116319656,0.18500679731369019,0.4576948285102844,0.45698776841163635,0.9999949932098389,1.02138099909678
vanilla_base,sine.3,0.4576948285102844,0.1337674856185913,0.20051522552967072,0.5886023044586182,0.5877067446708679,0.9999992847442627,1.2860147587299913
vanilla_base,sine.4,0.5886023044586182,0.18298380076885223,0.22111722826957703,0.6853925585746765,0.6841688752174377,1.0,1.164440834469861
vanilla_base,sine.5,0.6853925585746765,0.19460056722164154,0.24410700798034668,0.72925865650177,0.728571355342865,1.0,1.064001421343582
vanilla_base,readout,0.72925865650177,0.0487564355134964,,0.0487564355134964,0.011751084588468075,0.06727942079305649,0.06685753412565498
softlip_tiered_e12,sine.0,0.5728219747543335,0.22721974551677704,0.2743969261646271,0.7023084759712219,0.7017491459846497,1.0,1.2260501637920251
softlip_tiered_e12,sine.1,0.7023084759712219,0.12336679548025131,0.18902289867401123,0.4760740101337433,0.47537246346473694,0.9999992847442627,0.6778702328423145
softlip_tiered_e12,sine.2,0.4760740101337433,0.12226532399654388,0.1872907429933548,0.46681496500968933,0.4667450785636902,0.9999990463256836,0.9805512484887532
softlip_tiered_e12,sine.3,0.46681496500968933,0.12096548080444336,0.19562821090221405,0.5667607188224792,0.5662235617637634,0.9999994039535522,1.214101434838781
softlip_tiered_e12,sine.4,0.5667607188224792,0.1529303342103958,0.2008594274520874,0.703553318977356,0.7032947540283203,1.0,1.2413586468008608
softlip_tiered_e12,sine.5,0.703553318977356,0.21276521682739258,0.24794155359268188,0.8131774067878723,0.8130509853363037,1.0,1.1558148968295103
softlip_tiered_e12,readout,0.8131774067878723,0.9082426428794861,,0.9082426428794861,0.039800502359867096,0.9668189287185669,1.1169058993745664
warm_orth_lam1e-3,sine.0,0.5728219747543335,0.18473197519779205,0.23960578441619873,0.702057421207428,0.7018904089927673,0.9999997615814209,1.2256118866747732
warm_orth_lam1e-3,sine.1,0.702057421207428,0.12325961887836456,0.18800775706768036,0.45395132899284363,0.4533703923225403,0.9999997615814209,0.646601425011816
warm_orth_lam1e-3,sine.2,0.45395132899284363,0.12055281549692154,0.184816375374794,0.4854954779148102,0.482435941696167,0.9999958276748657,1.069487953679862
warm_orth_lam1e-3,sine.3,0.4854954779148102,0.14233960211277008,0.20561276376247406,0.6122622489929199,0.6108198761940002,0.9999998807907104,1.2611080367268703
warm_orth_lam1e-3,sine.4,0.6122622489929199,0.16384968161582947,0.21179959177970886,0.711663544178009,0.7116242051124573,0.9999999403953552,1.162350847775752
warm_orth_lam1e-3,sine.5,0.711663544178009,0.24593903124332428,0.2839680016040802,0.7708516120910645,0.7708143591880798,0.9999997019767761,1.0831686102193407
warm_orth_lam1e-3,readout,0.7708516120910645,0.9637832045555115,,0.9637832045555115,0.010832712054252625,0.985462486743927,1.2502836984943024
warm_readout_cap90_lam1,sine.0,0.5728219747543335,0.23367859423160553,0.2802088260650635,0.7001614570617676,0.6995701193809509,1.0,1.2223020203825914
warm_readout_cap90_lam1,sine.1,0.7001614570617676,0.12438555806875229,0.18854887783527374,0.4479598104953766,0.4470382332801819,1.0,0.6397950158171275
warm_readout_cap90_lam1,sine.2,0.4479598104953766,0.12030553072690964,0.1857643872499466,0.45542585849761963,0.45414161682128906,0.999999463558197,1.0166667808747993
warm_readout_cap90_lam1,sine.3,0.45542585849761963,0.13414569199085236,0.19768764078617096,0.5761620998382568,0.5752688050270081,0.9999980926513672,1.2651062496515406
warm_readout_cap90_lam1,sine.4,0.5761620998382568,0.1775968074798584,0.2222549170255661,0.7107528448104858,0.7104704976081848,1.0,1.2335987476614863
warm_readout_cap90_lam1,sine.5,0.7107528448104858,0.22256909310817719,0.2672542631626129,0.7371744513511658,0.7360524535179138,0.9999999403953552,1.0371741129614824
warm_readout_cap90_lam1,readout,0.7371744513511658,0.5622080564498901,,0.5622080564498901,0.28667283058166504,0.9154199361801147,0.7626526603294783
warm_readout_cap50_lam1,sine.0,0.5728219747543335,0.2336978167295456,0.2802146375179291,0.6997911334037781,0.6991980075836182,0.9999999403953552,1.2216555304183256
warm_readout_cap50_lam1,sine.1,0.6997911334037781,0.1248791515827179,0.18877622485160828,0.44752201437950134,0.44677039980888367,1.0,0.6395079803351581
warm_readout_cap50_lam1,sine.2,0.44752201437950134,0.12256383895874023,0.1871943324804306,0.46182653307914734,0.45947858691215515,0.9999960064888,1.0319638324820277
