image_idx,label,class_name,iters,mse,psnr,ssim,edge_laplacian_mse,phi_norm
8138,8,ship,5,0.0669705867767334,11.741158958856657,0.238093,0.0409887358546257,0.2584116458892822
8138,8,ship,10,0.06989890336990356,11.555296377612647,0.24615194,0.07637535035610199,0.30490392446517944
8138,8,ship,20,0.03288035839796066,14.830634572692032,0.32663622,0.0332622230052948,0.4048891067504883
8138,8,ship,50,0.019366174936294556,17.12956149446288,0.43145338,0.02766069769859314,0.5015933513641357
0,6,frog,5,0.02707214280962944,15.674773676662463,0.14132607,0.04417852684855461,0.2746737599372864
0,6,frog,10,0.022990798577666283,16.384459433957723,0.17390323,0.04260415956377983,0.28868889808654785
0,6,frog,20,0.019910791888833046,17.00911466938369,0.24647844,0.04110890254378319,0.30584418773651123
0,6,frog,50,0.014871284365653992,18.27651521805648,0.4086205,0.0387280248105526,0.3515205383300781
1,9,truck,5,0.11842187494039536,9.265680671366274,0.20855898,0.19525301456451416,0.23374520242214203
1,9,truck,10,0.0616362988948822,12.101634474647781,0.40750837,0.11042974889278412,0.3608429431915283
1,9,truck,20,0.030238185077905655,15.194442791200615,0.4551097,0.09178953617811203,0.43376243114471436
1,9,truck,50,0.02062326855957508,16.856425027337632,0.5711128,0.08160755783319473,0.48092952370643616
2,9,truck,5,0.1188356876373291,9.250531164551512,0.2174161,0.11217411607503891,0.2650946378707886
2,9,truck,10,0.06727312505245209,11.721583974768212,0.28241357,0.052800290286540985,0.3650987446308136
2,9,truck,20,0.013801711611449718,18.600670514746177,0.49391976,0.0379987433552742,0.4523054361343384
2,9,truck,50,0.011266186833381653,19.482230508963468,0.6101298,0.032490573823451996,0.4677623212337494
3,4,deer,5,0.030848069116473198,15.107720147200379,0.18654944,0.027320247143507004,0.28403913974761963
3,4,deer,10,0.018000593408942223,17.447131776755185,0.23955952,0.024970700964331627,0.32984548807144165
3,4,deer,20,0.012208732776343822,19.133294119603047,0.2989741,0.02366029843688011,0.3693472146987915
3,4,deer,50,0.007820229046046734,21.067805267384323,0.4458852,0.023431941866874695,0.4149758219718933
4,1,automobile,5,0.08668934553861618,10.620342757432121,0.17105787,0.0595945343375206,0.2706649899482727
4,1,automobile,10,0.05605291575193405,12.514017914179817,0.2522181,0.05706905573606491,0.3321928083896637
4,1,automobile,20,0.035448815673589706,14.503982697902714,0.37758234,0.0527319572865963,0.40601450204849243
4,1,automobile,50,0.01999010145664215,16.991850016823822,0.5536837,0.04813648387789726,0.49742868542671204
5,1,automobile,5,0.03799128159880638,14.203160556976753,0.08116422,0.053021159023046494,0.3079005479812622
5,1,automobile,10,0.03251829743385315,14.87872200914352,0.1289582,0.05108528584241867,0.31847575306892395
5,1,automobile,20,0.027613481506705284,15.58878834076767,0.1957679,0.04973679780960083,0.33832553029060364
5,1,automobile,50,0.019674837589263916,17.06088843943617,0.35605934,0.04717168211936951,0.39678075909614563
10,4,deer,5,0.029393088072538376,15.317547840393246,0.22262533,0.01685590296983719,0.28310322761535645
10,4,deer,10,0.010384229011833668,19.83625742589264,0.29943183,0.013096703216433525,0.34963056445121765
10,4,deer,20,0.004683004226535559,23.29475450255451,0.37482175,0.011723312549293041,0.394888699054718
10,4,deer,50,0.0031054853461682796,25.078705157158932,0.4592049,0.010922253131866455,0.42466408014297485
20,4,deer,5,0.046151407063007355,13.358150536763272,0.11553272,0.040512826293706894,0.31120550632476807
20,4,deer,10,0.028073495253920555,15.51703512731068,0.19666134,0.03796788305044174,0.3175484538078308
20,4,deer,20,0.020127661526203156,16.96206679421342,0.3495932,0.037247758358716965,0.3401162922382355
20,4,deer,50,0.013379404321312904,18.735632218242223,0.5792828,0.031798191368579865,0.4117870330810547
30,0,airplane,5,0.03509250655770302,14.547856102599193,0.18888938,0.050871752202510834,0.23167817294597626
30,0,airplane,10,0.01743181422352791,17.586574111536446,0.23029967,0.048886559903621674,0.2843672037124634
30,0,airplane,20,0.013155186548829079,18.809029889653832,0.28966054,0.047490715980529785,0.3119640052318573
30,0,airplane,50,0.009593845345079899,20.180072867373053,0.42772642,0.04306798428297043,0.3411500155925751
