image_idx,label,class_name,iters,mse,psnr,ssim,edge_laplacian_mse,phi_norm
8138,8,ship,5,0.04400039464235306,13.56543428281366,0.2651054,0.06760214269161224,0.26443254947662354
8138,8,ship,10,0.023840177804231644,16.22690509875228,0.36724687,0.04598125070333481,0.4016296863555908
8138,8,ship,20,0.011889390647411346,19.248404031818357,0.55472845,0.03086511418223381,0.5111273527145386
8138,8,ship,50,0.003917749039828777,24.069633871540145,0.7966909,0.019674008712172508,0.5666052103042603
8138,8,ship,100,0.002045505680143833,26.891993101760217,0.8776824,0.01218351535499096,0.5715065598487854
8138,8,ship,200,0.0010597886284813285,29.747807447710244,0.9273674,0.007709663361310959,0.5952815413475037
8138,8,ship,500,0.0004996927455067635,33.01296955558917,0.9592313,0.004632451571524143,0.6422989368438721
8138,8,ship,1000,0.00048258615424856544,33.164251424763535,0.96671003,0.0034096555318683386,0.6802994012832642
0,6,frog,5,0.04725400730967522,13.255613558598384,0.09309676,0.04715503007173538,0.26882922649383545
0,6,frog,10,0.0356336385011673,14.481398301805148,0.091583796,0.04485553503036499,0.39421534538269043
0,6,frog,20,0.026044076308608055,15.842910408493749,0.105091326,0.040243398398160934,0.5408551096916199
0,6,frog,50,0.01877332106232643,17.26458892458067,0.29921922,0.03831565007567406,0.6382203698158264
0,6,frog,100,0.008739657700061798,20.58505576734646,0.6543562,0.03243599086999893,0.7371864914894104
0,6,frog,200,0.004320956766605377,23.64420079006671,0.83876085,0.023612212389707565,0.8700193762779236
0,6,frog,500,0.0025268620811402798,25.97418461694778,0.91919667,0.014596971683204174,1.0313019752502441
0,6,frog,1000,0.0018070712685585022,27.430247190874695,0.9403698,0.011573191732168198,1.1096373796463013
1,9,truck,5,0.05884324759244919,12.303033663225033,0.4498702,0.13771536946296692,0.2214750498533249
1,9,truck,10,0.0259677916765213,15.855649815790017,0.5672582,0.10407701134681702,0.335094153881073
1,9,truck,20,0.01730235479772091,17.618947866942385,0.6700187,0.07631713151931763,0.437284380197525
1,9,truck,50,0.007404610514640808,21.304977805986695,0.8619434,0.0556253120303154,0.47448238730430603
1,9,truck,100,0.003725113347172737,24.28860508069318,0.9344,0.03439583256840706,0.4967787563800812
1,9,truck,200,0.002245245035737753,26.48736255167742,0.9619813,0.022477582097053528,0.5224124789237976
1,9,truck,500,0.001564396545290947,28.056531517858332,0.9774816,0.013265041634440422,0.5749444961547852
1,9,truck,1000,0.0010376863647252321,29.83933889889756,0.9825514,0.010384857654571533,0.6153741478919983
2,9,truck,5,0.04482255503535271,13.485033908592436,0.4056869,0.07412327826023102,0.24999390542507172
2,9,truck,10,0.023457355797290802,16.29720944793683,0.527347,0.05500537157058716,0.37325799465179443
2,9,truck,20,0.012883140705525875,18.89978249957111,0.6349046,0.038178637623786926,0.47850435972213745
2,9,truck,50,0.003294951980933547,24.82150910225524,0.84894806,0.020426323637366295,0.5149971842765808
2,9,truck,100,0.0014203658793121576,28.475997690685595,0.9242675,0.01073567382991314,0.5140402317047119
2,9,truck,200,0.0007837287848815322,31.05834202121146,0.9540983,0.006364853587001562,0.5219361782073975
2,9,truck,500,0.00035154842771589756,34.540148400862904,0.9776452,0.0030416063964366913,0.5523197054862976
2,9,truck,1000,0.0002779518545139581,35.56030423972995,0.9835699,0.0022572558373212814,0.5893043279647827
3,4,deer,5,0.043877117335796356,13.577619126898693,0.06388855,0.027386248111724854,0.27654194831848145
3,4,deer,10,0.028451092541217804,15.45901051746528,0.10301239,0.025526516139507294,0.4281519055366516
3,4,deer,20,0.01630137674510479,17.877757153780852,0.15900685,0.02438238076865673,0.5923811793327332
3,4,deer,50,0.011476168408989906,19.40203087250859,0.330703,0.023847762495279312,0.7183929681777954
3,4,deer,100,0.006098426412791014,22.147822122685,0.5780696,0.021643981337547302,0.7599507570266724
3,4,deer,200,0.0023452755995094776,26.298061148622097,0.81221265,0.015708455815911293,0.851818859577179
3,4,deer,500,0.0008375378092750907,30.769955783342265,0.9251756,0.00873330608010292,0.968045175075531
3,4,deer,1000,0.00043892115354537964,33.57613488084966,0.9599077,0.0053838021121919155,1.049723505973816
4,1,automobile,5,0.09865798056125641,10.058677783942386,0.11391451,0.06194816157221794,0.24782510101795197
4,1,automobile,10,0.0728081464767456,11.378200249182937,0.1280038,0.0564255528151989,0.3933069109916687
4,1,automobile,20,0.05113214999437332,12.913059457623831,0.1483187,0.053187888115644455,0.560804545879364
4,1,automobile,50,0.025558289140462875,15.924682210036345,0.46258625,0.04650343209505081,0.7164753079414368
4,1,automobile,100,0.010642463341355324,19.729578371033295,0.7904727,0.031045876443386078,0.8728614449501038
4,1,automobile,200,0.005230180453509092,22.814833266946284,0.89698225,0.018853021785616875,1.0107448101043701
4,1,automobile,500,0.003052725223824382,25.15312284842279,0.9393814,0.011967236176133156,1.1523609161376953
4,1,automobile,1000,0.0024753042962402105,26.063714043851157,0.94767,0.011335986666381359,1.2317736148834229
5,1,automobile,5,0.048262059688568115,13.163941475683087,0.082377076,0.055321257561445236,0.27140703797340393
5,1,automobile,10,0.045021723955869675,13.465778791669848,0.08403611,0.055134281516075134,0.39460429549217224
5,1,automobile,20,0.0353938452899456,14.510722517878813,0.099388875,0.05171571671962738,0.517748236656189
5,1,automobile,50,0.025955181568861008,15.857759286776918,0.23110934,0.04888613149523735,0.609947681427002
5,1,automobile,100,0.014429515227675438,18.407482591686012,0.48023129,0.04261411353945732,0.7033915519714355
5,1,automobile,200,0.009149144403636456,20.38619517753591,0.6694887,0.03376785293221474,0.8101969957351685
5,1,automobile,500,0.004777225665748119,23.208242431055204,0.8115361,0.025446083396673203,1.0066351890563965
5,1,automobile,1000,0.0026482045650482178,25.770484701235056,0.8919928,0.018406620249152184,1.1840922832489014
10,4,deer,5,0.07754801958799362,11.104292886690546,0.036766637,0.017424004152417183,0.2699839472770691
10,4,deer,10,0.027244549244642258,15.647203730116235,0.22908032,0.012564530596137047,0.40864941477775574
10,4,deer,20,0.004687287844717503,23.290783757876653,0.3084963,0.010847817175090313,0.625871479511261
10,4,deer,50,0.003449886804446578,24.621951544950523,0.4031304,0.010583173483610153,0.7842501997947693
10,4,deer,100,0.0020198379643261433,26.946834691779383,0.56374913,0.010103313252329826,0.802545428276062
10,4,deer,200,0.0009264360414817929,30.331845577701486,0.76301783,0.008397271856665611,0.8533234000205994
10,4,deer,500,0.0004375661665108055,33.58956265892448,0.8879969,0.005571328103542328,0.9155820608139038
10,4,deer,1000,0.0002503960859030485,36.01372464135703,0.9366496,0.003507578279823065,0.9637317061424255
20,4,deer,5,0.07412633299827576,11.300274837310162,0.1224829,0.043036386370658875,0.2922529876232147
20,4,deer,10,0.03568127751350403,14.47559604768643,0.14615227,0.037750646471977234,0.39075562357902527
20,4,deer,20,0.02853218838572502,15.446649171828714,0.19595088,0.03723540157079697,0.5503527522087097
20,4,deer,50,0.009557118639349937,20.196730227497234,0.59460133,0.03222798556089401,0.6315405964851379
20,4,deer,100,0.0016343947499990463,27.866430414136083,0.8897867,0.015118416398763657,0.7069337368011475
20,4,deer,200,0.0005665777716785669,32.467404679848485,0.9575114,0.007198484614491463,0.7431209087371826
20,4,deer,500,0.00022838180302642286,36.41338502703092,0.98089457,0.003030305728316307,0.7738214731216431
20,4,deer,1000,0.0001458714104956016,38.36029817638145,0.9887206,0.0019403237383812666,0.8036073446273804
30,0,airplane,5,0.08991330862045288,10.461760209180834,0.19114913,0.05781538411974907,0.23159116506576538
30,0,airplane,10,0.041308820247650146,13.839572080069969,0.2180044,0.04992123693227768,0.39290013909339905
30,0,airplane,20,0.016407664865255356,17.849532232306654,0.21190642,0.04922225698828697,0.6303848028182983
30,0,airplane,50,0.010723806917667389,19.69651014098567,0.39319885,0.045176081359386444,0.8040182590484619
30,0,airplane,100,0.005564241670072079,22.54594015685841,0.62963396,0.03687305748462677,0.8234182596206665
30,0,airplane,200,0.003052668645977974,25.15320333936905,0.7871912,0.023935070261359215,0.8705670833587646
30,0,airplane,500,0.0019767149351537228,27.040559563899855,0.8513906,0.01645541749894619,0.9492906332015991
30,0,airplane,1000,0.0016819869633764029,27.741773746235,0.8819036,0.012439316138625145,1.0235201120376587
