image_idx,label,class_name,iters,mse,psnr,ssim,edge_laplacian_mse,phi_norm
8138,8,ship,5,0.05344056338071823,12.721289720922517,0.1745323,0.1625966727733612,0.23680610954761505
8138,8,ship,10,0.029905548319220543,15.242482303751409,0.27778634,0.19094757735729218,0.27317139506340027
8138,8,ship,20,0.015354275703430176,18.13770665409296,0.41934133,0.1160440668463707,0.31005847454071045
8138,8,ship,50,0.006577243097126484,21.819561061733552,0.6624815,0.04670954868197441,0.34007543325424194
8138,8,ship,100,0.003764146938920021,24.243334316006326,0.79656345,0.022966783493757248,0.3557048439979553
8138,8,ship,200,0.0026689721271395683,25.73655961653739,0.86295825,0.012095860205590725,0.3775474429130554
8138,8,ship,500,0.00183332827873528,27.367597626001835,0.9081859,0.0070232003927230835,0.4032162129878998
8138,8,ship,1000,0.0014389044372364879,28.4196804814748,0.92033345,0.006100964732468128,0.42247486114501953
0,6,frog,5,0.026447843760252,15.776097293451032,0.12399739,0.046871643513441086,0.21135279536247253
0,6,frog,10,0.029590651392936707,15.288454744052956,0.08443741,0.043010517954826355,0.31721484661102295
0,6,frog,20,0.026432257145643234,15.77865749314665,0.0944691,0.04082649201154709,0.3682551980018616
0,6,frog,50,0.019126972183585167,17.183537737278353,0.2828444,0.06005808711051941,0.3936336934566498
0,6,frog,100,0.010537030175328255,19.772817762401548,0.60911316,0.051348306238651276,0.44013819098472595
0,6,frog,200,0.006518754176795483,21.858353959615286,0.7998049,0.03065689653158188,0.4852939248085022
0,6,frog,500,0.005760479718446732,22.395413481047285,0.8354352,0.025289319455623627,0.5347288250923157
0,6,frog,1000,0.0035812899004667997,24.45960522027167,0.90243816,0.014541199430823326,0.562302827835083
1,9,truck,5,0.07046570628881454,11.520221907119817,0.11742767,0.1387762725353241,0.16947486996650696
1,9,truck,10,0.051084231585264206,12.917131349400975,0.09702152,0.13773024082183838,0.22954468429088593
1,9,truck,20,0.041022077202796936,13.869823523812993,0.17784975,0.1320873200893402,0.27720531821250916
1,9,truck,50,0.02089560590684414,16.799450311638694,0.57662433,0.11212059110403061,0.33132046461105347
1,9,truck,100,0.011479027569293976,19.40094901064992,0.8029416,0.07266750186681747,0.38872286677360535
1,9,truck,200,0.00848119892179966,20.715427505360378,0.866653,0.061115607619285583,0.4200485348701477
1,9,truck,500,0.006408805958926678,21.932228774630765,0.9299882,0.02580071985721588,0.4482550323009491
1,9,truck,1000,0.004492062143981457,23.475542442624175,0.94263464,0.02426229976117611,0.46669018268585205
2,9,truck,5,0.05833883583545685,12.340422415715311,0.17380081,0.18634097278118134,0.24057477712631226
2,9,truck,10,0.03892827033996582,14.097348924158329,0.2952435,0.2401370108127594,0.2716435194015503
2,9,truck,20,0.01927780918776989,17.14942322701042,0.45514882,0.1000480204820633,0.2911006808280945
2,9,truck,50,0.007357647642493248,21.332610143555314,0.7037368,0.060655057430267334,0.32194989919662476
2,9,truck,100,0.0030270139686763287,25.18985574912257,0.83573866,0.022895272821187973,0.334545761346817
2,9,truck,200,0.004060881212353706,23.913797141725652,0.83585477,0.03316619247198105,0.35441142320632935
2,9,truck,500,0.001286059501580894,28.907389376245142,0.93423635,0.008200442418456078,0.3782084882259369
2,9,truck,1000,0.0018170606344938278,27.40630580239179,0.9074114,0.01583140715956688,0.4802282750606537
3,4,deer,5,0.03487034887075424,14.575437075742519,0.12104052,0.03765139728784561,0.2104639708995819
3,4,deer,10,0.018237244337797165,17.390407832938138,0.16143109,0.029315536841750145,0.32228395342826843
3,4,deer,20,0.01666114293038845,17.78295209931906,0.17552252,0.027025673538446426,0.45117008686065674
3,4,deer,50,0.012548874132335186,19.013952367365565,0.30408305,0.03037811815738678,0.503699004650116
3,4,deer,100,0.0067280977964401245,21.721077044655523,0.63031155,0.03725793957710266,0.534381091594696
3,4,deer,200,0.003872241824865341,24.120375284490933,0.81526095,0.019795436412096024,0.5752276182174683
3,4,deer,500,0.0018468801863491535,27.33561277865233,0.8951675,0.012728899717330933,0.6082896590232849
3,4,deer,1000,0.0013364203041419387,28.740569347775327,0.9255951,0.00835392251610756,0.6407490968704224
4,1,automobile,5,0.04817831143736839,13.171484253066275,0.16165344,0.1660640686750412,0.19399678707122803
4,1,automobile,10,0.045162610709667206,13.452209608119395,0.13140374,0.10020390152931213,0.24007560312747955
4,1,automobile,20,0.0296613909304142,15.278084871835716,0.35200572,0.13995888829231262,0.2650263011455536
4,1,automobile,50,0.010958611033856869,19.602444876908784,0.7019568,0.07303348183631897,0.31871676445007324
4,1,automobile,100,0.007077989634126425,21.500900777319867,0.7989242,0.04151739925146103,0.3394440710544586
4,1,automobile,200,0.004105823114514351,23.86599764669542,0.8737437,0.0326889306306839,0.37850382924079895
4,1,automobile,500,0.00452364981174469,23.445110223834988,0.8969558,0.031816914677619934,0.4149635136127472
4,1,automobile,1000,0.001990844029933214,27.00962762871967,0.9383404,0.017458600923419,0.4465686082839966
5,1,automobile,5,0.03425050526857376,14.653330173471794,0.08784553,0.05816897004842758,0.22171694040298462
5,1,automobile,10,0.03712964430451393,14.302792112189467,0.09432137,0.05603654310107231,0.32014769315719604
5,1,automobile,20,0.03312862664461136,14.797965675297394,0.12553214,0.06222761794924736,0.37872034311294556
